TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
1.50.10.10	-	0.535661535053284	-0.624252781821812	20	2	0.00417536534446764	479	5448	176149,181210	C14B9.8,ZC506.1
4.10.270.10	-	0.56347397800181	-0.5736341258023	9	1	0.00208768267223382	479	5448	172562	nmy-2
2.60.120.260	-	0.588441766833372	-0.530277309032797	22	2	0.00417536534446764	479	5448	173794,172333	vab-1,bli-4
2.30.30.360	-	0.60191780306886	-0.507634382748441	10	1	0.00208768267223382	479	5448	172562	nmy-2
4.10.1040.10	-	0.636982417326588	-0.451013226103974	11	1	0.00208768267223382	479	5448	179012	dmd-7
3.40.309.10	-	0.698133916053111	-0.359344337812313	13	1	0.00208768267223382	479	5448	179026	alh-4
3.40.605.10	-	0.698133916053111	-0.359344337812313	13	1	0.00208768267223382	479	5448	179026	alh-4
2.60.40.1180	-	0.698133916053111	-0.359344337812313	13	1	0.00208768267223382	479	5448	179364	aagr-3
2.60.40.640	-	0.700474000503525	-0.355998029520537	27	2	0.00417536534446764	479	5448	181514,177764	arrd-25,vps-26
3.20.20.190	-	0.724738121066088	-0.321944901702985	14	1	0.00208768267223382	479	5448	181274	plc-1
3.40.250.10	-	0.724738121066088	-0.321944901702985	14	1	0.00208768267223382	479	5448	173904	vhp-1
2.20.100.10	-	0.737653494763701	-0.304281083930738	29	2	0.00417536534446764	479	5448	179162,176014	mig-6,dpy-31
1.20.1560.10	-	0.737653494763701	-0.304281083930738	29	2	0.00417536534446764	479	5448	181587,179968	mrp-5,pmp-3
3.60.20.10	-	0.791313210060364	-0.234061422382281	17	1	0.00208768267223382	479	5448	181223	W07E11.1
2.60.210.10	-	0.810638759040675	-0.209932750682244	76	5	0.0104384133611691	479	5448	176152,172737,176422,174861,174210	bath-42,mel-26,bath-43,pqn-87,bath-44
3.20.20.70	-	0.81372006153436	-0.20613887687734	34	2	0.00417536534446764	479	5448	181223,174844	W07E11.1,tpi-1
3.40.50.10190	-	0.826504230828634	-0.190550242764246	19	1	0.00208768267223382	479	5448	3565010	hsr-9
1.20.120.350	-	0.841811741130925	-0.172198875093938	20	1	0.00208768267223382	479	5448	181078	kqt-2
1.10.1380.10	-	0.841811741130925	-0.172198875093938	20	1	0.00208768267223382	479	5448	174787	nep-1
1.10.540.10	-	0.841811741130925	-0.172198875093938	20	1	0.00208768267223382	479	5448	177281	ivd-1
3.40.640.10	-	0.849300990329441	-0.163341632143114	37	2	0.00417536534446764	479	5448	179884,181232	sptl-3,C14H10.3
2.60.40.820	-	0.855771242973957	-0.155752178071642	21	1	0.00208768267223382	479	5448	175698	tbx-2
1.10.20.10	-	0.859714922929812	-0.151154429653204	38	2	0.00417536534446764	479	5448	179365,181704	drap-1,taf-3
1.10.400.10	-	0.868501218039095	-0.140986290838984	22	1	0.00208768267223382	479	5448	172505	goa-1
4.10.280.10	-	0.869467300024839	-0.13987455368701	39	2	0.00417536534446764	479	5448	177157,176050	hlh-30,mml-1
3.60.21.10	-	0.902217713399503	-0.102899420638726	59	3	0.00626304801670146	479	5448	3564807,178117,179488	gsp-2,let-92,mre-11
3.30.230.10	-	0.909150259056725	-0.0952448969728974	26	1	0.00208768267223382	479	5448	175863	mvk-1
3.90.190.10	-	0.937275513581086	-0.0647780019909966	97	5	0.0104384133611691	479	5448	173945,176323,3565419,174685,173904	cdc-14,F54C8.4,clr-1,ptp-3,vhp-1
3.90.1150.10	-	0.956673368393073	-0.0442932536321908	34	1	0.00208768267223382	479	5448	179884	sptl-3
2.60.120.290	-	0.957603020003451	-0.0433219710221153	54	2	0.00417536534446764	479	5448	180755,176014	mig-13,dpy-31
4.10.410.10	-	0.960506662916209	-0.04029435987285	35	1	0.00208768267223382	479	5448	179162	mig-6
3.40.50.620	-	0.964001454805515	-0.0366624752383787	36	1	0.00208768267223382	479	5448	174672	gmps-1
3.30.70.1230	-	0.967187578816646	-0.03336282217857	37	1	0.00208768267223382	479	5448	172051	gcy-28
3.40.390.10	-	0.98108077796531	-0.0191004803344463	83	3	0.00626304801670146	479	5448	176014,174787,172689	dpy-31,nep-1,sup-17
3.40.50.1820	-	0.998373012329814	-0.00162831265197276	172	6	0.0125260960334029	479	5448	181689,180737,180715,172715,172200,172585	ZK1073.1,hosl-1,F15A8.6,fasn-1,C09D4.4,aho-3
1.10.565.10	-	0.999958133515818	-4.18673606073179e-05	243	7	0.0146137787056367	479	5448	181491,181263,175993,177618,172839,177350,173641	nhr-71,daf-12,nhr-10,nhr-66,nhr-49,nhr-46,nhr-88
3.30.50.10	-	0.999969290931831	-3.07095397018138e-05	266	8	0.0167014613778706	479	5448	177618,177350,173641,175993,176992,172839,181491,181263	nhr-66,nhr-46,nhr-88,nhr-10,egl-18,nhr-49,nhr-71,daf-12
2.60.110.10	-	0.99999999999423	-5.77022029417791e-12	5	0	0	479	5448
