TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
1.10.3080.10	-	0.298952963336674	-1.20746903122175	6	1	0.00319488817891374	313	5448	174187	clh-3
2.40.50.90	-	0.298952963336674	-1.20746903122175	6	1	0.00319488817891374	313	5448	172444	ekl-1
3.30.40.160	-	0.298952963336674	-1.20746903122175	6	1	0.00319488817891374	313	5448	173927	F07F6.4
2.30.40.10	-	0.298952963336674	-1.20746903122175	6	1	0.00319488817891374	313	5448	177852	dhp-2
1.10.490.10	-	0.310155267478395	-1.17068224405933	34	3	0.00958466453674121	313	5448	189513,187506,185260	glb-30,glb-20,glb-15
3.90.1150.10	-	0.310155267478395	-1.17068224405933	34	3	0.00958466453674121	313	5448	180079,172756,172759	cth-1,F26H9.5,cbl-1
1.10.1380.10	-	0.320482676886537	-1.1379270543582	20	2	0.00638977635782748	313	5448	186911,173730	nep-18,nep-3
1.50.10.10	-	0.320482676886537	-1.1379270543582	20	2	0.00638977635782748	313	5448	177092,173305	Y67D8A.2,hpo-13
3.40.630.20	-	0.339274117775956	-1.08094689133949	7	1	0.00319488817891374	313	5448	187440	M04C9.3
1.10.1040.10	-	0.339274117775956	-1.08094689133949	7	1	0.00319488817891374	313	5448	171839	Y71F9B.9
1.10.840.10	-	0.339274117775956	-1.08094689133949	7	1	0.00319488817891374	313	5448	180611	rgl-1
3.90.550.10	-	0.349742991654103	-1.0505567037957	52	4	0.012779552715655	313	5448	176557,176736,175453,191513	gly-9,gly-5,gly-14,ZK1055.4
3.40.850.10	-	0.358320340352113	-1.02632788722835	37	3	0.00958466453674121	313	5448	3565057,177685,179190	klp-20,klp-11,myo-5
3.40.640.10	-	0.358320340352113	-1.02632788722835	37	3	0.00958466453674121	313	5448	180079,172756,172759	cth-1,F26H9.5,cbl-1
2.60.120.290	-	0.376376771434277	-0.97716458562399	54	4	0.012779552715655	313	5448	190803,179729,3565986,175491	nas-30,ZC116.3,nas-39,toh-1
3.90.1300.10	-	0.377283160445574	-0.974759284745047	8	1	0.00319488817891374	313	5448	176620	faah-4
3.30.565.10	-	0.377283160445574	-0.974759284745047	8	1	0.00319488817891374	313	5448	176226	pdhk-2
1.10.555.10	-	0.384260515475432	-0.956434530703834	23	2	0.00638977635782748	313	5448	173079,178629	rga-2,rga-4
3.30.497.10	-	0.413112272716648	-0.884035876193199	9	1	0.00319488817891374	313	5448	178586	srp-2
4.10.270.10	-	0.413112272716648	-0.884035876193199	9	1	0.00319488817891374	313	5448	179190	myo-5
3.30.505.10	-	0.41611042619961	-0.876804606350638	57	4	0.012779552715655	313	5448	181153,3565745,3565291,181055	vav-1,shc-1,sta-2,sem-5
3.30.40.10	-	0.418300059959056	-0.871556257194153	225	14	0.0447284345047923	313	5448	176767,179358,176084,178094,190702,174939,173588,176816,173590,174051,178970,174872,178734,172053	trf-1,rbx-1,ncl-1,prx-2,Y75B8A.10,Y38F1A.2,ZK1240.3,pdr-1,F43C11.8,C32D5.10,let-418,Y57A10A.31,Y45G12B.2,rnf-145
2.130.10.30	-	0.446886102216853	-0.805451521720845	10	1	0.00319488817891374	313	5448	187290	K11D2.1
2.30.30.360	-	0.446886102216853	-0.805451521720845	10	1	0.00319488817891374	313	5448	179190	myo-5
2.30.39.10	-	0.446886102216853	-0.805451521720845	10	1	0.00319488817891374	313	5448	178586	srp-2
3.40.50.12780	-	0.464939409634583	-0.765848183745917	27	2	0.00638977635782748	313	5448	179913,3565539	acs-10,dip-2
3.30.1370.10	-	0.464939409634583	-0.765848183745917	27	2	0.00638977635782748	313	5448	177927,174543	mask-1,vgln-1
1.20.1080.10	-	0.478722190855102	-0.736634827161127	11	1	0.00319488817891374	313	5448	190553	aqp-3
3.30.1520.10	-	0.478722190855102	-0.736634827161127	11	1	0.00319488817891374	313	5448	178361	lst-4
3.50.50.60	-	0.48281346216987	-0.728124906614213	45	3	0.00958466453674121	313	5448	187655,177958,178402	kmo-2,fmo-2,gdi-1
1.25.40.10	-	0.497336121297111	-0.698489181076962	98	6	0.0191693290734824	313	5448	175871,3565128,180800,180180,176228,175855	efk-1,adpr-1,vps-41,prp-6,tomm-70,ift-139
1.20.1560.10	-	0.502892752506279	-0.687378347309378	29	2	0.00638977635782748	313	5448	171807,171694	abtm-1,haf-6
2.20.100.10	-	0.502892752506279	-0.687378347309378	29	2	0.00638977635782748	313	5448	177850,4927036	gon-1,Y67A10A.11
1.10.418.10	-	0.52120868992362	-0.651604760954821	30	2	0.00638977635782748	313	5448	181168,181153	fln-2,vav-1
2.120.10.30	-	0.52120868992362	-0.651604760954821	30	2	0.00638977635782748	313	5448	176084,179770	ncl-1,nid-1
2.100.10.20	-	0.53701818488598	-0.621723321199377	13	1	0.00319488817891374	313	5448	185033	F28A10.8
3.10.110.10	-	0.556464290626419	-0.586152278112585	32	2	0.00638977635782748	313	5448	182322,174953	ubc-22,gcn-2
3.60.10.10	-	0.56368116706804	-0.573266493947058	14	1	0.00319488817891374	313	5448	178184	ccr-4
3.40.250.10	-	0.56368116706804	-0.573266493947058	14	1	0.00319488817891374	313	5448	3565829	mpst-3
1.20.920.10	-	0.588813260315579	-0.529646190904658	15	1	0.00319488817891374	313	5448	171920	pcaf-1
3.20.20.70	-	0.589842178009799	-0.527900272764159	34	2	0.00638977635782748	313	5448	177070,188353	nprt-1,T10B5.8
